day,time,end_use_type,value
Constant,1900-01-01 10:00:00,Raumwärme,1
Constant,1900-01-01 10:00:00,Warmwasser,1
Constant,1900-01-01 10:15:00,Beleuchtung,1
Constant,1900-01-01 10:15:00,IKT,1
Constant,1900-01-01 10:15:00,Klimakälte,1
Constant,1900-01-01 10:15:00,mechanische Antriebe,1
Constant,1900-01-01 10:15:00,Prozesskälte,1
Constant,1900-01-01 10:15:00,Prozesswärme,1
Constant,1900-01-01 10:15:00,Raumwärme,1
Constant,1900-01-01 10:15:00,Warmwasser,1
Constant,1900-01-01 10:30:00,Beleuchtung,1
Constant,1900-01-01 10:30:00,IKT,1
Constant,1900-01-01 10:30:00,Klimakälte,1
Constant,1900-01-01 10:30:00,mechanische Antriebe,1
Constant,1900-01-01 10:30:00,Prozesskälte,1
Constant,1900-01-01 10:30:00,Prozesswärme,1
Constant,1900-01-01 10:30:00,Raumwärme,1
Constant,1900-01-01 10:30:00,Warmwasser,1
Constant,1900-01-01 10:45:00,Beleuchtung,1
Constant,1900-01-01 10:45:00,IKT,1
Constant,1900-01-01 10:45:00,Klimakälte,1
Constant,1900-01-01 10:45:00,mechanische Antriebe,1
Constant,1900-01-01 10:45:00,Prozesskälte,1
Constant,1900-01-01 10:45:00,Prozesswärme,1
Constant,1900-01-01 10:45:00,Raumwärme,1
Constant,1900-01-01 10:45:00,Warmwasser,1
Constant,1900-01-01 11:00:00,Beleuchtung,1
Constant,1900-01-01 11:00:00,IKT,1
Constant,1900-01-01 11:00:00,Klimakälte,1
Constant,1900-01-01 11:00:00,mechanische Antriebe,1
Constant,1900-01-01 11:00:00,Prozesskälte,1
Constant,1900-01-01 11:00:00,Prozesswärme,1
Constant,1900-01-01 11:00:00,Raumwärme,1
Constant,1900-01-01 11:00:00,Warmwasser,1
Constant,1900-01-01 11:15:00,Beleuchtung,1
Constant,1900-01-01 11:15:00,IKT,1
Constant,1900-01-01 11:15:00,Klimakälte,1
Constant,1900-01-01 11:15:00,mechanische Antriebe,1
Constant,1900-01-01 11:15:00,Prozesskälte,1
Constant,1900-01-01 11:15:00,Prozesswärme,1
Constant,1900-01-01 11:15:00,Raumwärme,1
Constant,1900-01-01 11:15:00,Warmwasser,1
Constant,1900-01-01 11:30:00,Beleuchtung,1
Constant,1900-01-01 11:30:00,IKT,1
Constant,1900-01-01 11:30:00,Klimakälte,1
Constant,1900-01-01 11:30:00,mechanische Antriebe,1
Constant,1900-01-01 11:30:00,Prozesskälte,1
Constant,1900-01-01 11:30:00,Prozesswärme,1
Constant,1900-01-01 11:30:00,Raumwärme,1
Constant,1900-01-01 11:30:00,Warmwasser,1
Constant,1900-01-01 11:45:00,Beleuchtung,1
Constant,1900-01-01 11:45:00,IKT,1
Constant,1900-01-01 11:45:00,Klimakälte,1
Constant,1900-01-01 11:45:00,mechanische Antriebe,1
Constant,1900-01-01 11:45:00,Prozesskälte,1
Constant,1900-01-01 11:45:00,Prozesswärme,1
Constant,1900-01-01 11:45:00,Raumwärme,1
Constant,1900-01-01 11:45:00,Warmwasser,1
Constant,1900-01-01 12:00:00,Beleuchtung,1
Constant,1900-01-01 12:00:00,IKT,1
Constant,1900-01-01 12:00:00,Klimakälte,1
Constant,1900-01-01 12:00:00,mechanische Antriebe,1
Constant,1900-01-01 12:00:00,Prozesskälte,1
Constant,1900-01-01 12:00:00,Prozesswärme,1
Constant,1900-01-01 12:00:00,Raumwärme,1
Constant,1900-01-01 12:00:00,Warmwasser,1
Constant,1900-01-01 12:15:00,Beleuchtung,1
Constant,1900-01-01 12:15:00,IKT,1
Constant,1900-01-01 12:15:00,Klimakälte,1
Constant,1900-01-01 12:15:00,mechanische Antriebe,1
Constant,1900-01-01 12:15:00,Prozesskälte,1
Constant,1900-01-01 12:15:00,Prozesswärme,1
Constant,1900-01-01 12:15:00,Raumwärme,1
Constant,1900-01-01 12:15:00,Warmwasser,1
Constant,1900-01-01 12:30:00,Beleuchtung,1
Constant,1900-01-01 12:30:00,IKT,1
Constant,1900-01-01 12:30:00,Klimakälte,1
Constant,1900-01-01 12:30:00,mechanische Antriebe,1
Constant,1900-01-01 12:30:00,Prozesskälte,1
Constant,1900-01-01 12:30:00,Prozesswärme,1
Constant,1900-01-01 12:30:00,Raumwärme,1
Constant,1900-01-01 12:30:00,Warmwasser,1
Constant,1900-01-01 12:45:00,Beleuchtung,1
Constant,1900-01-01 12:45:00,IKT,1
Constant,1900-01-01 12:45:00,Klimakälte,1
Constant,1900-01-01 12:45:00,mechanische Antriebe,1
Constant,1900-01-01 12:45:00,Prozesskälte,1
Constant,1900-01-01 12:45:00,Prozesswärme,1
Constant,1900-01-01 12:45:00,Raumwärme,1
Constant,1900-01-01 12:45:00,Warmwasser,1
Constant,1900-01-01 13:00:00,Beleuchtung,1
Constant,1900-01-01 13:00:00,IKT,1
Constant,1900-01-01 13:00:00,Klimakälte,1
Constant,1900-01-01 13:00:00,mechanische Antriebe,1
Constant,1900-01-01 13:00:00,Prozesskälte,1
Constant,1900-01-01 13:00:00,Prozesswärme,1
Constant,1900-01-01 13:00:00,Raumwärme,1
Constant,1900-01-01 13:00:00,Warmwasser,1
Constant,1900-01-01 13:15:00,Beleuchtung,1
Constant,1900-01-01 13:15:00,IKT,1
Constant,1900-01-01 13:15:00,Klimakälte,1
Constant,1900-01-01 13:15:00,mechanische Antriebe,1
Constant,1900-01-01 13:15:00,Prozesskälte,1
Constant,1900-01-01 13:15:00,Prozesswärme,1
Constant,1900-01-01 13:15:00,Raumwärme,1
Constant,1900-01-01 13:15:00,Warmwasser,1
Constant,1900-01-01 13:30:00,Beleuchtung,1
Constant,1900-01-01 13:30:00,IKT,1
Constant,1900-01-01 13:30:00,Klimakälte,1
Constant,1900-01-01 13:30:00,mechanische Antriebe,1
Constant,1900-01-01 13:30:00,Prozesskälte,1
Constant,1900-01-01 13:30:00,Prozesswärme,1
Constant,1900-01-01 13:30:00,Raumwärme,1
Constant,1900-01-01 13:30:00,Warmwasser,1
Constant,1900-01-01 13:45:00,Beleuchtung,1
Constant,1900-01-01 13:45:00,IKT,1
Constant,1900-01-01 13:45:00,Klimakälte,1
Constant,1900-01-01 13:45:00,mechanische Antriebe,1
Constant,1900-01-01 13:45:00,Prozesskälte,1
Constant,1900-01-01 13:45:00,Prozesswärme,1
Constant,1900-01-01 13:45:00,Raumwärme,1
Constant,1900-01-01 13:45:00,Warmwasser,1
Constant,1900-01-01 14:00:00,Beleuchtung,1
Constant,1900-01-01 14:00:00,IKT,1
Constant,1900-01-01 14:00:00,Klimakälte,1
Constant,1900-01-01 14:00:00,mechanische Antriebe,1
Constant,1900-01-01 14:00:00,Prozesskälte,1
Constant,1900-01-01 14:00:00,Prozesswärme,1
Constant,1900-01-01 14:00:00,Raumwärme,1
Constant,1900-01-01 14:00:00,Warmwasser,1
Constant,1900-01-01 14:15:00,Beleuchtung,1
Constant,1900-01-01 14:15:00,IKT,1
Constant,1900-01-01 14:15:00,Klimakälte,1
Constant,1900-01-01 14:15:00,mechanische Antriebe,1
Constant,1900-01-01 14:15:00,Prozesskälte,1
Constant,1900-01-01 14:15:00,Prozesswärme,1
Constant,1900-01-01 14:15:00,Raumwärme,1
Constant,1900-01-01 14:15:00,Warmwasser,1
Constant,1900-01-01 14:30:00,Beleuchtung,1
Constant,1900-01-01 14:30:00,IKT,1
Constant,1900-01-01 14:30:00,Klimakälte,1
Constant,1900-01-01 14:30:00,mechanische Antriebe,1
Constant,1900-01-01 14:30:00,Prozesskälte,1
Constant,1900-01-01 14:30:00,Prozesswärme,1
Constant,1900-01-01 14:30:00,Raumwärme,1
Constant,1900-01-01 14:30:00,Warmwasser,1
Constant,1900-01-01 14:45:00,Beleuchtung,1
Constant,1900-01-01 14:45:00,IKT,1
Constant,1900-01-01 14:45:00,Klimakälte,1
Constant,1900-01-01 14:45:00,mechanische Antriebe,1
Constant,1900-01-01 14:45:00,Prozesskälte,1
Constant,1900-01-01 14:45:00,Prozesswärme,1
Constant,1900-01-01 14:45:00,Raumwärme,1
Constant,1900-01-01 14:45:00,Warmwasser,1
Constant,1900-01-01 15:00:00,Beleuchtung,1
Constant,1900-01-01 15:00:00,IKT,1
Constant,1900-01-01 15:00:00,Klimakälte,1
Constant,1900-01-01 15:00:00,mechanische Antriebe,1
Constant,1900-01-01 15:00:00,Prozesskälte,1
Constant,1900-01-01 15:00:00,Prozesswärme,1
Constant,1900-01-01 15:00:00,Raumwärme,1
Constant,1900-01-01 15:00:00,Warmwasser,1
Constant,1900-01-01 15:15:00,Beleuchtung,1
Constant,1900-01-01 15:15:00,IKT,1
Constant,1900-01-01 15:15:00,Klimakälte,1
Constant,1900-01-01 15:15:00,mechanische Antriebe,1
Constant,1900-01-01 15:15:00,Prozesskälte,1
Constant,1900-01-01 15:15:00,Prozesswärme,1
Constant,1900-01-01 15:15:00,Raumwärme,1
Constant,1900-01-01 15:15:00,Warmwasser,1
Constant,1900-01-01 15:30:00,Beleuchtung,1
Constant,1900-01-01 15:30:00,IKT,1
Constant,1900-01-01 15:30:00,Klimakälte,1
Constant,1900-01-01 15:30:00,mechanische Antriebe,1
Constant,1900-01-01 15:30:00,Prozesskälte,1
Constant,1900-01-01 15:30:00,Prozesswärme,1
Constant,1900-01-01 15:30:00,Raumwärme,1
Constant,1900-01-01 15:30:00,Warmwasser,1
Constant,1900-01-01 15:45:00,Beleuchtung,1
Constant,1900-01-01 15:45:00,IKT,1
Constant,1900-01-01 15:45:00,Klimakälte,1
Constant,1900-01-01 15:45:00,mechanische Antriebe,1
Constant,1900-01-01 15:45:00,Prozesskälte,1
Constant,1900-01-01 15:45:00,Prozesswärme,1
Constant,1900-01-01 15:45:00,Raumwärme,1
Constant,1900-01-01 15:45:00,Warmwasser,1
Constant,1900-01-01 16:00:00,Beleuchtung,1
Constant,1900-01-01 16:00:00,IKT,1
Constant,1900-01-01 16:00:00,Klimakälte,1
Constant,1900-01-01 16:00:00,mechanische Antriebe,1
Constant,1900-01-01 16:00:00,Prozesskälte,1
Constant,1900-01-01 16:00:00,Prozesswärme,1
Constant,1900-01-01 16:00:00,Raumwärme,1
Constant,1900-01-01 16:00:00,Warmwasser,1
Constant,1900-01-01 16:15:00,Beleuchtung,1
Constant,1900-01-01 16:15:00,IKT,1
Constant,1900-01-01 16:15:00,Klimakälte,1
Constant,1900-01-01 16:15:00,mechanische Antriebe,1
Constant,1900-01-01 16:15:00,Prozesskälte,1
Constant,1900-01-01 16:15:00,Prozesswärme,1
Constant,1900-01-01 16:15:00,Raumwärme,1
Constant,1900-01-01 16:15:00,Warmwasser,1
